"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","LogSalePrice","QualityGroup","SizeGroup","Cluster","Age","Qual_LivArea","SalePriceCat"
347,20,"RL",69,12772,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,8,1960,1998,"Hip","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","Mn","BLQ",498,"Unf",0,460,958,"GasA","TA","Y","SBrkr",958,0,0,958,0,0,1,0,2,1,"TA",5,"Typ",0,"None","Attchd",1960,"RFn",1,301,"TA","TA","Y",0,0,0,0,0,0,15500,4,2007,"WD","Normal",151500,11.9283409039316,"Media","Pequeña",3,47,5748,"media"
352,120,"RL",69,5271,"Pave","IR1","Low","AllPub","Inside","Mod","ClearCr","Norm","Norm","1Fam","1Story",7,5,1986,1986,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","Gd","TA","Gd","GLQ",1082,"Unf",0,371,1453,"GasA","Gd","Y","SBrkr",1453,0,0,1453,1,0,1,1,2,1,"Gd",6,"Typ",1,"TA","Attchd",1986,"RFn",2,445,"TA","TA","Y",0,80,0,0,184,0,0,12,2006,"WD","Abnorml",190000,12.1547793511426,"Media","Mediana",2,20,10171,"media"
353,50,"RL",60,9084,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Artery","Norm","1Fam","1.5Fin",5,6,1941,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","Fa","Mn","LwQ",236,"Rec",380,0,616,"GasA","TA","N","SBrkr",616,495,0,1111,0,1,1,0,3,1,"TA",5,"Typ",0,"None","Detchd",1941,"Unf",1,200,"TA","Fa","Y",48,0,0,0,0,0,0,3,2008,"ConLw","Normal",95000,11.4616321705827,"Media","Mediana",3,67,5555,"barata"
355,50,"RL",60,8400,"Pave","Reg","Bnk","AllPub","Inside","Gtl","SWISU","Norm","Norm","1Fam","1.5Fin",6,5,1940,2000,"Gable","CompShg","Wd Sdng","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",388,"Unf",0,552,940,"GasA","Ex","Y","SBrkr",1192,403,0,1595,0,0,1,0,2,1,"TA",6,"Typ",2,"Gd","Attchd",1940,"Unf",1,240,"TA","TA","Y",0,0,108,0,0,0,0,6,2006,"WD","Normal",140000,11.8493977015914,"Media","Mediana",3,66,9570,"media"
357,20,"RL",69,9248,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",6,6,1992,1992,"Gable","CompShg","HdBoard","HdBoard","BrkFace",106,"TA","TA","PConc","Gd","TA","No","GLQ",560,"Unf",0,598,1158,"GasA","Gd","Y","SBrkr",1167,0,0,1167,1,0,2,0,3,1,"Gd",6,"Typ",0,"None","Attchd",1992,"RFn",2,400,"TA","TA","Y",120,26,0,0,0,0,0,7,2009,"WD","Normal",173000,12.0610468734799,"Media","Mediana",2,17,7002,"media"
358,120,"RM",44,4224,"Pave","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story",5,5,1976,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","ALQ",874,"Unf",0,268,1142,"GasA","TA","Y","SBrkr",1142,0,0,1142,1,0,1,1,3,1,"TA",6,"Typ",1,"Po","Attchd",1976,"Fin",2,528,"TA","TA","Y",536,90,0,0,0,0,0,8,2007,"WD","Normal",134000,11.805595078933,"Media","Mediana",2,31,5710,"barata"
360,60,"RL",78,12011,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",530,"Gd","TA","PConc","Gd","TA","Av","GLQ",956,"Unf",0,130,1086,"GasA","Ex","Y","SBrkr",1086,838,0,1924,1,0,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd",1998,"RFn",2,592,"TA","TA","Y",208,75,0,0,374,0,0,6,2006,"WD","Normal",280000,12.5425448821514,"Alta","Mediana",2,8,15392,"cara"
361,85,"RL",69,7540,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","SFoyer",6,6,1978,1978,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","TA","Av","GLQ",773,"Unf",0,115,888,"GasA","Ex","Y","SBrkr",912,0,0,912,1,0,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd",1978,"RFn",2,470,"TA","TA","Y",0,0,0,0,192,0,0,6,2007,"WD","Normal",156000,11.9576112862317,"Media","Pequeña",2,29,5472,"media"
362,50,"RL",69,9144,"Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,5,1940,1982,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Rec",399,"Unf",0,484,883,"GasA","Gd","Y","SBrkr",988,517,0,1505,1,0,1,0,3,1,"TA",8,"Typ",0,"None","Detchd",1940,"Unf",1,240,"TA","TA","N",0,0,0,0,0,0,0,7,2008,"WD","Normal",145000,11.8844890214027,"Media","Mediana",3,68,7525,"media"
363,85,"RL",64,7301,"Pave","Reg","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","SFoyer",7,5,2003,2003,"Gable","CompShg","HdBoard","HdBoard","BrkFace",500,"Gd","TA","Slab","None","None",NA,NA,0,NA,0,0,0,"GasA","Ex","Y","SBrkr",495,1427,0,1922,0,0,3,0,4,1,"Gd",7,"Typ",1,"Ex","BuiltIn",2003,"RFn",2,672,"TA","TA","Y",0,0,177,0,0,0,0,7,2009,"ConLD","Normal",198500,12.1985443791094,"Media","Mediana",2,6,13454,"cara"
364,160,"RM",21,1680,"Pave","Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",6,8,1972,2007,"Gable","CompShg","HdBoard","HdBoard","BrkFace",510,"TA","TA","CBlock","TA","TA","No","ALQ",162,"Unf",0,321,483,"GasA","Gd","Y","SBrkr",483,504,0,987,0,0,1,1,2,1,"Gd",5,"Typ",0,"None","Detchd",1972,"Unf",1,264,"TA","TA","Y",250,0,0,0,0,0,0,5,2009,"WD","Normal",118000,11.6784399034478,"Media","Pequeña",3,37,5922,"barata"
365,60,"RL",69,18800,"Pave","IR1","Lvl","AllPub","FR2","Gtl","NWAmes","Norm","Norm","1Fam","2Story",6,5,1976,1976,"Gable","CompShg","HdBoard","HdBoard","BrkFace",120,"TA","TA","PConc","Gd","TA","Mn","GLQ",712,"Unf",0,84,796,"GasA","TA","Y","SBrkr",790,784,0,1574,1,0,2,1,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"Fin",2,566,"TA","TA","Y",306,111,0,0,0,0,0,7,2006,"WD","Normal",190000,12.1547793511426,"Media","Mediana",2,30,9444,"media"
366,70,"RM",59,10690,"Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","2Story",5,7,1920,1997,"Hip","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","Fa","No","Rec",456,"Unf",0,216,672,"GasA","Gd","Y","FuseA",672,672,0,1344,0,0,1,0,3,1,"TA",6,"Typ",0,"None","Detchd",1964,"Unf",1,468,"TA","Fa","Y",0,128,218,0,0,0,0,7,2009,"WD","Normal",147000,11.8981878657609,"Media","Mediana",3,89,6720,"media"
369,20,"RL",78,7800,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1954,"Gable","CompShg","HdBoard","HdBoard","BrkFace",200,"TA","TA","PConc","TA","TA","No","LwQ",540,"Unf",0,728,1268,"GasA","Gd","Y","SBrkr",1268,0,0,1268,0,0,1,0,2,1,"TA",7,"Typ",1,"Gd","Attchd",1954,"Fin",1,244,"TA","TA","Y",0,98,0,0,0,0,0,3,2010,"WD","Normal",132000,11.7905572015685,"Media","Mediana",3,56,6340,"barata"
371,60,"RL",69,8121,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,953,953,"GasA","Ex","Y","SBrkr",953,711,0,1664,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",2000,"RFn",2,460,"TA","TA","Y",100,40,0,0,0,0,0,1,2006,"WD","Normal",172400,12.0575726372117,"Media","Mediana",2,6,9984,"media"
372,50,"RL",80,17120,"Pave","Reg","Lvl","AllPub","Inside","Gtl","ClearCr","Feedr","Norm","1Fam","1.5Fin",4,4,1959,1959,"Gable","CompShg","WdShing","Plywood","None",0,"TA","TA","CBlock","None","None",NA,NA,0,NA,0,0,0,"GasA","TA","Y","SBrkr",1120,468,0,1588,0,0,2,0,4,1,"TA",7,"Min2",1,"Gd","Detchd",1991,"Fin",2,680,"TA","TA","N",0,59,0,0,0,0,0,7,2008,"WD","Normal",134432,11.8088137739691,"Baja","Mediana",3,49,6352,"barata"
373,120,"RL",50,7175,"Pave","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","TwnhsE","1Story",6,5,1984,1984,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","ALQ",623,"LwQ",121,0,744,"GasA","TA","Y","SBrkr",752,0,0,752,1,0,1,0,2,1,"TA",4,"Typ",0,"None","Attchd",1984,"Unf",1,264,"TA","TA","Y",353,0,0,0,90,0,0,2,2010,"WD","Normal",125000,11.7360690162844,"Media","Pequeña",3,26,4512,"barata"
374,20,"RL",79,10634,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1953,1953,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","PConc","TA","TA","No","BLQ",428,"LwQ",180,0,608,"GasA","TA","Y","SBrkr",1319,0,0,1319,1,0,1,0,3,1,"TA",5,"Min2",0,"None","Attchd",1953,"Unf",1,270,"TA","TA","Y",66,0,0,0,0,0,0,11,2009,"WD","Normal",123000,11.7199396343546,"Media","Mediana",3,56,6595,"barata"
375,60,"RL",65,8200,"Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,847,847,"GasA","Ex","Y","SBrkr",847,1081,0,1928,0,0,2,1,4,1,"Gd",8,"Typ",1,"Gd","BuiltIn",2003,"Fin",2,434,"TA","TA","Y",100,48,0,0,0,0,0,7,2007,"WD","Normal",219500,12.2991075114974,"Media","Mediana",2,4,13496,"cara"
376,30,"RL",69,10020,"Pave","IR1","Low","AllPub","Inside","Sev","Edwards","Norm","Norm","1Fam","1Story",1,1,1922,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Fa","Fa","BrkTil","Fa","Po","Gd","BLQ",350,"Unf",0,333,683,"GasA","Gd","N","FuseA",904,0,0,904,1,0,0,1,1,1,"Fa",4,"Maj1",0,"None","None",NA,NA,0,0,NA,NA,"Y",0,0,0,0,0,0,0,3,2009,"WD","Normal",61000,11.0186291431554,"Baja","Pequeña",3,87,904,"barata"
377,85,"RL",57,8846,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","SFoyer",5,5,1996,1996,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",298,"Unf",0,572,870,"GasA","Ex","Y","SBrkr",914,0,0,914,0,0,1,0,2,1,"TA",5,"Typ",0,"None","Detchd",1998,"Unf",2,576,"TA","TA","Y",0,0,0,0,0,0,0,7,2006,"WD","Normal",148000,11.9049675527463,"Media","Pequeña",3,10,4570,"media"
380,60,"RL",60,8123,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","RRAn","Norm","1Fam","2Story",6,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",16,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,982,982,"GasA","Ex","Y","SBrkr",1007,793,0,1800,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",2000,"Fin",2,463,"TA","TA","Y",100,63,0,0,0,0,0,6,2009,"WD","Normal",179000,12.0951410848229,"Media","Mediana",2,9,10800,"media"
381,50,"RL",50,5000,"Pave","Reg","Lvl","AllPub","Inside","Gtl","SWISU","Norm","Norm","1Fam","1.5Fin",5,6,1924,1950,"Gable","CompShg","BrkFace","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","LwQ",218,"Unf",0,808,1026,"GasA","TA","Y","SBrkr",1026,665,0,1691,0,0,2,0,3,1,"Gd",6,"Typ",1,"Gd","Detchd",1924,"Unf",1,308,"TA","TA","Y",0,0,242,0,0,0,0,5,2010,"WD","Normal",127000,11.7519423654407,"Media","Mediana",3,86,8455,"barata"
384,45,"RH",60,9000,"Pave","Reg","Lvl","AllPub","Corner","Gtl","SawyerW","Norm","Norm","1Fam","1.5Unf",6,3,1928,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","Fa","Fa","No","Unf",0,"Unf",0,784,784,"GasA","TA","N","FuseA",784,0,0,784,0,0,1,0,2,1,"TA",5,"Typ",0,"None","Detchd",1950,"Unf",2,360,"Fa","Fa","N",0,0,91,0,0,0,0,10,2009,"WD","Normal",76000,11.2384886192685,"Media","Pequeña",2,81,4704,"barata"
386,120,"RL",43,3182,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",16,"Gd","TA","PConc","Gd","TA","No","GLQ",24,"Unf",0,1232,1256,"GasA","Ex","Y","SBrkr",1269,0,0,1269,0,0,2,0,2,1,"Gd",6,"Typ",1,"TA","Attchd",2004,"Fin",2,430,"TA","TA","Y",146,20,0,0,144,0,0,4,2010,"WD","Normal",192000,12.1652506510099,"Alta","Mediana",2,6,10152,"cara"
387,50,"RL",58,8410,"Pave","Reg","Lvl","AllPub","FR2","Gtl","Edwards","Feedr","Norm","1Fam","1.5Fin",5,3,1910,1996,"Gambrel","CompShg","Wd Sdng","VinylSd","None",0,"TA","Fa","PConc","TA","TA","No","Unf",0,"Unf",0,658,658,"GasA","TA","Y","SBrkr",658,526,0,1184,0,0,1,0,5,1,"TA",8,"Typ",0,"None","None",NA,NA,0,0,NA,NA,"N",0,151,0,0,0,0,0,5,2006,"WD","AdjLand",81000,11.3022044336546,"Media","Mediana",3,96,5920,"barata"
388,80,"RL",72,7200,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","SLvl",6,6,1976,1976,"Hip","CompShg","MetalSd","MetalSd","BrkFace",255,"TA","TA","CBlock","TA","TA","Av","ALQ",631,"Unf",0,410,1041,"GasA","Ex","Y","SBrkr",1125,0,0,1125,1,0,1,0,3,1,"TA",6,"Typ",1,"Fa","Detchd",1977,"Unf",1,352,"TA","TA","Y",296,0,0,0,0,0,0,10,2009,"WD","Abnorml",125000,11.7360690162844,"Media","Mediana",3,33,6750,"barata"
389,20,"RL",93,9382,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,1999,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",125,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1468,1468,"GasA","Ex","Y","SBrkr",1479,0,0,1479,0,0,2,0,3,1,"Gd",6,"Typ",0,"None","Attchd",1999,"RFn",2,577,"TA","TA","Y",120,25,0,0,0,0,0,7,2008,"WD","Normal",191000,12.1600287070288,"Media","Mediana",2,9,10353,"media"
390,60,"RL",96,12474,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",10,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",272,"Ex","TA","PConc","Ex","TA","Av","GLQ",1280,"Unf",0,402,1682,"GasA","Ex","Y","SBrkr",1742,590,0,2332,1,0,2,1,3,1,"Ex",9,"Typ",1,"Ex","BuiltIn",2008,"Fin",3,846,"TA","TA","Y",196,134,0,0,0,0,0,8,2008,"New","Partial",426000,12.9621946252515,"Alta","Grande",1,1,23320,"cara"
392,60,"RL",71,12209,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","2Story",6,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Ex","TA","No","ALQ",690,"Unf",0,114,804,"GasA","Ex","Y","SBrkr",804,1157,0,1961,1,0,2,1,3,1,"Gd",7,"Typ",1,"TA","BuiltIn",2001,"Fin",2,560,"TA","TA","Y",125,192,0,0,0,0,0,6,2009,"WD","Normal",215000,12.2783933071098,"Media","Mediana",2,8,11766,"cara"
394,30,"RL",69,7446,"Pave","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Feedr","Norm","1Fam","1Story",4,5,1941,1950,"Gable","CompShg","WdShing","Wd Shng","None",0,"TA","TA","CBlock","TA","TA","No","Rec",266,"Unf",0,522,788,"GasA","TA","Y","FuseA",788,0,0,788,0,0,1,0,2,1,"TA",4,"Typ",2,"TA","None",NA,NA,0,0,NA,NA,"Y",0,0,0,0,0,0,0,4,2006,"WD","Abnorml",1e+05,11.5129254649702,"Baja","Pequeña",3,65,3152,"barata"
396,20,"RL",68,9571,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,6,1956,1956,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Av","BLQ",739,"Unf",0,405,1144,"GasA","TA","Y","SBrkr",1144,0,0,1144,1,0,1,0,3,1,"TA",6,"Typ",0,"None","Attchd",1956,"Unf",1,596,"TA","TA","Y",44,0,0,0,0,0,0,6,2010,"WD","Normal",129000,11.7675676833438,"Media","Mediana",3,54,5720,"barata"
400,60,"FV",65,8125,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",7,5,2006,2007,"Gable","CompShg","CemntBd","CmentBd","Stone",100,"Gd","TA","PConc","Gd","TA","No","GLQ",812,"Unf",0,280,1092,"GasA","Ex","Y","SBrkr",1112,438,0,1550,1,0,2,0,2,1,"Gd",7,"Typ",0,"None","Attchd",2007,"Fin",2,438,"TA","TA","Y",0,168,0,0,0,0,0,10,2009,"WD","Normal",241000,12.3925522124728,"Media","Mediana",2,3,10850,"cara"
401,120,"RL",38,14963,"Pave","IR2","Lvl","AllPub","Inside","Gtl","Veenker","Norm","Norm","TwnhsE","1Story",8,5,1996,1996,"Gable","CompShg","BrkFace","BrkFace","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",786,"Unf",0,474,1260,"GasA","Ex","Y","SBrkr",1288,0,0,1288,1,0,1,1,1,1,"Ex",4,"Typ",2,"Gd","Attchd",1996,"Fin",2,500,"TA","TA","Y",120,30,0,0,224,0,0,12,2008,"WD","Normal",245500,12.4110522262167,"Alta","Mediana",2,12,10304,"cara"
402,20,"RL",65,8767,"Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",24,"Unf",0,1286,1310,"GasA","Ex","Y","SBrkr",1310,0,0,1310,0,0,2,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd",2005,"Fin",2,400,"TA","TA","Y",0,0,0,0,0,0,0,7,2006,"New","Partial",164990,12.0136401449855,"Media","Mediana",2,1,9170,"media"
403,30,"RL",60,10200,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,8,1940,1997,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,672,672,"GasA","Ex","Y","SBrkr",672,0,0,672,0,0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd",1940,"Unf",1,240,"TA","TA","N",168,0,0,0,0,0,0,8,2008,"WD","Normal",108000,11.5898865061064,"Media","Pequeña",3,68,3360,"barata"
404,60,"RL",93,12090,"Pave","Reg","Lvl","AllPub","Corner","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1998,1998,"Hip","CompShg","VinylSd","VinylSd","BrkFace",650,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1141,1141,"GasA","Gd","Y","SBrkr",1165,1098,0,2263,0,0,2,1,4,1,"Gd",10,"Typ",1,"TA","BuiltIn",1998,"Fin",2,420,"TA","TA","Y",144,123,0,0,0,0,0,7,2006,"WD","Abnorml",258000,12.4607148639038,"Alta","Grande",1,8,18104,"cara"
406,20,"RL",69,9991,"Pave","IR1","Lvl","AllPub","Corner","Gtl","Sawyer","Feedr","Norm","1Fam","1Story",4,4,1976,1993,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",1116,"Unf",0,165,1281,"GasA","Ex","Y","SBrkr",1620,0,0,1620,1,0,2,0,3,1,"TA",8,"Min1",1,"TA","Attchd",1993,"Unf",2,490,"TA","TA","Y",120,78,0,0,0,0,0,6,2009,"WD","Normal",150000,11.9183905730784,"Baja","Mediana",2,33,6480,"media"
408,70,"RL",63,15576,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","2Story",6,7,1915,1976,"Gable","CompShg","Wd Sdng","Plywood","None",0,"TA","TA","BrkTil","Gd","TA","No","Unf",0,"Unf",0,840,840,"GasA","Ex","Y","SBrkr",840,840,0,1680,0,0,2,0,4,1,"TA",8,"Typ",0,"None","Attchd",1960,"Unf",1,308,"TA","TA","Y",0,0,160,0,0,0,0,3,2008,"WD","Normal",177000,12.083905011556,"Media","Mediana",3,93,10080,"media"
409,60,"RL",109,14154,"Pave","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Ex","Gd","No","Unf",0,"Unf",0,1063,1063,"GasA","Ex","Y","SBrkr",1071,1101,0,2172,0,0,2,1,3,1,"Gd",9,"Typ",1,"Gd","Attchd",2006,"RFn",3,947,"TA","TA","Y",192,62,0,0,0,0,0,8,2007,"New","Partial",280000,12.5425448821514,"Media","Grande",1,1,15204,"cara"
411,20,"RL",68,9571,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,3,1958,1958,"Gable","CompShg","BrkComm","Brk Cmn","None",0,"TA","Fa","CBlock","TA","Fa","No","Unf",0,"Unf",0,1276,1276,"GasA","TA","Y","FuseA",1276,0,0,1276,0,0,1,0,3,1,"TA",5,"Mod",0,"None","Attchd",1958,"Unf",1,350,"TA","TA","Y",0,0,0,0,0,0,0,6,2009,"COD","Abnorml",60000,11.0020998412042,"Media","Mediana",3,51,6380,"barata"
412,190,"RL",100,34650,"Pave","Reg","Bnk","AllPub","Inside","Gtl","Gilbert","Norm","Norm","2fmCon","1Story",5,5,1955,1955,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","Rec",1056,"Unf",0,0,1056,"GasA","TA","N","SBrkr",1056,0,0,1056,1,0,1,0,3,1,"TA",5,"Typ",0,"None","Attchd",1955,"Fin",2,572,"TA","TA","Y",264,0,0,0,0,0,0,1,2006,"WD","Normal",145000,11.8844890214027,"Media","Mediana",2,51,5280,"media"
414,30,"RM",56,8960,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1Story",5,6,1927,1950,"Gable","CompShg","WdShing","Wd Shng","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1008,1008,"GasA","Gd","Y","FuseA",1028,0,0,1028,0,0,1,0,2,1,"TA",5,"Typ",1,"Gd","Detchd",1927,"Unf",2,360,"TA","TA","Y",0,0,130,0,0,0,0,3,2010,"WD","Normal",115000,11.6526874073454,"Media","Mediana",3,83,5140,"barata"
415,60,"RL",59,11228,"Pave","IR2","Lvl","AllPub","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,1993,1993,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","BLQ",50,"GLQ",531,499,1080,"GasA","Ex","Y","SBrkr",1080,1017,0,2097,0,1,2,1,3,1,"Gd",9,"Typ",1,"TA","Attchd",1993,"Unf",3,678,"TA","TA","Y",196,187,0,0,0,0,0,12,2008,"WD","Normal",228000,12.3371009079366,"Media","Grande",1,15,14679,"cara"
416,20,"RL",73,8899,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",7,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",24,"Unf",0,1316,1340,"GasA","Ex","Y","SBrkr",1340,0,0,1340,0,0,2,0,3,1,"Gd",6,"Typ",0,"None","Attchd",2007,"Fin",2,396,"TA","TA","Y",100,30,0,0,0,0,0,8,2007,"New","Partial",181134,12.1069923678295,"Media","Mediana",2,0,9380,"media"
418,70,"RL",86,22420,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Crawfor","Feedr","Norm","1Fam","2Story",6,6,1918,1950,"Hip","CompShg","Wd Sdng","Stucco","None",0,"TA","TA","BrkTil","Gd","TA","No","BLQ",1128,"Unf",0,242,1370,"GasW","TA","N","FuseA",1370,1254,0,2624,1,0,2,1,4,1,"TA",10,"Typ",1,"Gd","Detchd",1918,"Unf",3,864,"TA","TA","N",0,0,0,0,0,0,0,11,2007,"WD","Normal",239000,12.3842188309136,"Media","Grande",1,89,15744,"cara"
419,50,"RL",60,8160,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",5,6,1940,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","ALQ",312,"Unf",0,444,756,"GasA","Fa","N","FuseF",756,378,0,1134,1,0,1,1,3,1,"TA",7,"Typ",0,"None","Detchd",1940,"Unf",1,240,"TA","TA","P",0,0,0,0,0,0,0,4,2007,"WD","AdjLand",126000,11.7440371859336,"Media","Mediana",3,67,5670,"barata"
